originl query	freq	CPP detector and converter				JS detector and converter							
ျမန္မာေအား	16	1	မြန်မာအေား	diff	Z	1	မြန်မာအေား	diff	Z	same	same		
​ေက်ာက္​ဆည္​	16	1	​ကျောက်​ဆည်​	diff	Z	1	​ကျောက်​ဆည်​	diff	Z	same	same		
ျမင့္ျမတ္ 2017	16	1	မြင့်မြတ် 2017	diff	Z	1	မြင့်မြတ် 2017	diff	Z	same	same		
awwကား	16	0.6769	awwကား	same	I	0.8848795032	awwကား	same	I	same	same		
ကိုယ္ေစာင့္နတ္ သီခ်င္း	16	1	ကိုယ်စောင့်နတ် သီချင်း	diff	Z	1	ကိုယ်စောင့်နတ် သီချင်း	diff	Z	same	same		
ဟန္ထြန္း	16	1	ဟန်ထွန်း	diff	Z	0.9999999997	ဟန်ထွန်း	diff	Z	same	same		
ေနတုိး သက္မြန္ျမင့္	16	1	နေတိုး သက်မွန်မြင့်	diff	Z	1	နေတိုး သက်မွန်မြင့်	diff	Z	same	same		
ျမန္မာသီခ်င္းမ်ား 2017	16	1	မြန်မာသီချင်းများ 2017	diff	Z	1	မြန်မာသီချင်းများ 2017	diff	Z	same	same		
ျမန္မာ.com	16	1	မြန်မာ.com	diff	Z	0.9999993195	မြန်မာ.com	diff	Z	same	same		
ေထြး	16	1	ထွေး	diff	Z	0.9999999999	ထွေး	diff	Z	same	same		
ေနတိုး 2017	16	1	နေတိုး 2017	diff	Z	0.9999970893	နေတိုး 2017	diff	Z	same	same		
xxxေအာကား	16	0.9999	xxxအောကား	diff	Z	0.9999932836	xxxအောကား	diff	Z	same	same		
စပ	16	0.2214	စပ	same	I	0.8098740581	စပ	same	I	same	same		
ေရႊထူး true love	16	1	ရွှေထူး true love	diff	Z	0.9999995937	ရွှေထူး true love	diff	Z	same	same		
ရတနာမိုင္	16	1	ရတနာမိုင်	diff	Z	0.9999999236	ရတနာမိုင်	diff	Z	same	same		
​ေမာင္​​ေလး	16	1	​မောင်​​လေး	diff	Z	1	​မောင်​​လေး	diff	Z	same	same		
အန္တီ ေအာစာအဳပ္	16	1	အန်တီ အောစာအုပ်	diff	Z	1	အန်တီ အောစာအုပ်	diff	Z	same	same		
စပက္	16	0.9909	စပက်	diff	Z	0.9999722665	စပက်	diff	Z	same	same		
ဇာမဏီငွက္	16	0.1775	ဇာမဏီငှက်	diff	I	0.9997191986	ဇာမဏီငှက်	diff	Z	diff	same		
သစ	16	0.2038	သစ	same	I	0.5876520184	သစ	same	I	same	same		
ေဝလႇ	16	0.9648	ဝေလှ	diff	Z	0.9998929666	ဝေလှ	diff	Z	same	same		
သခင္ဆီအေျပးျပန္လာမည္	16	1	သခင်ဆီအပြေးပြန်လာမည်	diff	Z	1	သခင်ဆီအပြေးပြန်လာမည်	diff	Z	same	same		
ဘာလာလာေဒါင္း	16	1	ဘာလာလာဒေါင်း	diff	Z	1	ဘာလာလာဒေါင်း	diff	Z	same	same		
သေဘၤာရြက္	16	1	သင်္ဘောရွက်	diff	Z	1	သင်္ဘောရွက်	diff	Z	same	same		
မြန္ေလး	16	0.9998	မွန်လေး	diff	Z	0.9999999931	မွန်လေး	diff	Z	same	same		
​ေအ	16	1	​အေ	diff	Z	0.999809635	​အေ	diff	Z	same	same		
မယ္ဘုတ္	16	1	မယ်ဘုတ်	diff	Z	0.9999999951	မယ်ဘုတ်	diff	Z	same	same		
ဖီးလ္ေဆး	16	1	ဖီးလ်ဆေး	diff	Z	0.9999999909	ဖီးလ်ဆေး	diff	Z	same	same		
သဇင္ ၄	16	1	သဇင် ၄	diff	Z	0.9999999986	သဇင် ၄	diff	Z	same	same		
အျငိမ့္	16	0.9998	အငြိမ့်	diff	Z	0.9999929675	အငြိမ့်	diff	Z	same	same		
႐ုပ္ျပ	15	1	ရုပ်ပြ	diff	Z	1	ရုပ်ပြ	diff	Z	same	same		
မျ	15	0.005894	မြ	diff	U	0.003335071038	မြ	diff	U	same	same		
ျမန္​မာ လိုးကားမ်ား	15	1	မြန်​မာ လိုးကားများ	diff	Z	1	မြန်​မာ လိုးကားများ	diff	Z	same	same		
ရခိုင္	15	1	ရခိုင်	diff	Z	0.9999972237	ရခိုင်	diff	Z	same	same		
ဂ်ပန္ေအာ	15	0.9999	ဂျပန်အော	diff	Z	0.9999995712	ဂျပန်အော	diff	Z	same	same		
ေအာ္က	15	1	အော်က	diff	Z	0.9999999717	အော်က	diff	Z	same	same		
XNXXျမန္မာ	15	1	XNXXမြန်မာ	diff	Z	0.9999993195	XNXXမြန်မာ	diff	Z	same	same		
အျပားကား	15	1	အပြားကား	diff	Z	0.9999999972	အပြားကား	diff	Z	same	same		
်ေအာကား	15	0.9998	ျအောကား	diff	Z	0.9999986529	ျအောကား	diff	Z	same	same		
ေဘာလုံး	15	0.9996	ဘောလုံး	diff	Z	0.9999332123	ဘောလုံး	diff	Z	same	same		
ဂဂၤါ	15	0.987	ဂင်္ဂါ	diff	Z	0.9999904304	ဂင်္ဂါ	diff	Z	same	same		
ျမန္​မာအတြဲ​ေခ်ာင္​းရုိက္	15	1	မြန်​မာအတွဲ​ချောင်းရိုက်	diff	Z	1	မြန်​မာအတွဲ​ချောင်းရိုက်	diff	Z	same	same		
သိုင္းကား	15	1	သိုင်းကား	diff	Z	0.999999988	သိုင်းကား	diff	Z	same	same		
အလွသစၥာတရား	15	0.9908	အလှသစ္စာတရား	diff	Z	0.9999994804	အလှသစ္စာတရား	diff	Z	same	same		
XXXျမန္မါVIDEO	15	1	XXXမြန်မါVIDEO	diff	Z	0.9999997403	XXXမြန်မါVIDEO	diff	Z	same	same		
18+စာ	15	0.6139	18+စာ	same	I	0.6683007623	18+စာ	same	I	same	same		
ျမန္မာဖူးကာ	15	1	မြန်မာဖူးကာ	diff	Z	0.9999999533	မြန်မာဖူးကာ	diff	Z	same	same		
မေနာdownload	15	0.9406	မနောdownload	diff	I	0.8719781047	မနောdownload	diff	I	same	same		
သဇင္ဖူးကား	15	1	သဇင်ဖူးကား	diff	Z	0.9999999999	သဇင်ဖူးကား	diff	Z	same	same		
ျမန္​မာ​ေခ်ာင္​႐ိုက္​	15	1	မြန်​မာ​ချောင်​ရိုက်​	diff	Z	1	မြန်​မာ​ချောင်​ရိုက်​	diff	Z	same	same		
ေဇာ္ပိုင္ mp3	15	1	ဇော်ပိုင် mp3	diff	Z	1	ဇော်ပိုင် mp3	diff	Z	same	same		
ေအာကားလိုးကား	15	1	အောကားလိုးကား	diff	Z	0.999999575	အောကားလိုးကား	diff	Z	same	same		
ေပြး	15	0.9997	ပွေး	diff	Z	0.9999999463	ပွေး	diff	Z	same	same		
လယ္တြင္းသားေစာခ်စ္	15	1	လယ်တွင်းသားစောချစ်	diff	Z	1	လယ်တွင်းသားစောချစ်	diff	Z	same	same		
ေဂၚလီခင္ေမာင္	15	1	ဂေါ်လီခင်မောင်	diff	Z	1	ဂေါ်လီခင်မောင်	diff	Z	same	same		
စဖုတ္	15	0.9998	စဖုတ်	diff	Z	0.9999961699	စဖုတ်	diff	Z	same	same		
စိုင္းစိုင္းခမ္းလိႈင္ ဝမ္းနည္းမွတ္တမ္း	15	1	စိုင်းစိုင်းခမ်းလှိုင် ဝမ်းနည်းမှတ်တမ်း	diff	Z	1	စိုင်းစိုင်းခမ်းလှိုင် ဝမ်းနည်းမှတ်တမ်း	diff	Z	same	same		
ေအာင္လအန္ဆန္း	15	1	အောင်လအန်ဆန်း	diff	Z	1	အောင်လအန်ဆန်း	diff	Z	same	same		
အိုးမ်ား	15	0.9995	အိုးများ	diff	Z	0.9999920846	အိုးများ	diff	Z	same	same		
ပရိတ္ေတာ္mp3	15	1	ပရိတ်တော်mp3	diff	Z	1	ပရိတ်တော်mp3	diff	Z	same	same		
ေအာ စာအုပ္	15	1	အော စာအုပ်	diff	Z	1	အော စာအုပ်	diff	Z	same	same		
မ်ိဳးႀကီး 2017	15	1	မျိုးကြီး 2017	diff	Z	1	မျိုးကြီး 2017	diff	Z	same	same		
အာဇာနည္ေန႔စာစီစာကံုး	15	1	အာဇာနည်နေ့စာစီစာကုံး	diff	Z	1	အာဇာနည်နေ့စာစီစာကုံး	diff	Z	same	same		
်အာကား	15	0.05838	ျအာကား	diff	I	0.8617916796	ျအာကား	diff	I	same	same		
သြန္​းဆက္​	15	1	သွန်းဆက်​	diff	Z	0.9999999778	သွန်းဆက်​	diff	Z	same	same		
အား နာတယ္	15	1	အား နာတယ်	diff	Z	0.9999999736	အား နာတယ်	diff	Z	same	same		
ရတနာသိုက္	15	0.9996	ရတနာသိုက်	diff	Z	0.99998499	ရတနာသိုက်	diff	Z	same	same		
ဆရာေတာ္ျကီးမ်ား	15	1	ဆရာတော်ကြီးများ	diff	Z	1	ဆရာတော်ကြီးများ	diff	Z	same	same		
ပီမိုးနင္း ကာမ	15	1	ပီမိုးနင်း ကာမ	diff	Z	0.9999999968	ပီမိုးနင်း ကာမ	diff	Z	same	same		
ကုလားကားမ်ား	15	0.9999	ကုလားကားများ	diff	Z	0.9999998978	ကုလားကားများ	diff	Z	same	same		
ေရႊသမီး	15	1	ရွှေသမီး	diff	Z	0.9999855096	ရွှေသမီး	diff	Z	same	same		
သစ္ထူးလြင္ ေနာက္ဆုံးရသတင္း	15	1	သစ်ထူးလွင် နောက်ဆုံးရသတင်း	diff	Z	1	သစ်ထူးလွင် နောက်ဆုံးရသတင်း	diff	Z	same	same		
ူသုယသဒာ	15	0.2827	ူသုယသဒာ	same	I	0.9717548332	ူသုယသဒာ	same	Z	diff	same		
တတ	15	0.5179	တတ	same	I	0.2837606025	တတ	same	I	same	same		
ျမန္မာမ​ေလးမ်ား	15	1	မြန်မာမ​လေးများ	diff	Z	1	မြန်မာမ​လေးများ	diff	Z	same	same		
အိုး အ	15	0.9094	အိုး အ	same	I	0.9686209655	အိုး အ	same	Z	diff	same		
ေခ်ာင္း	15	1	ချောင်း	diff	Z	1	ချောင်း	diff	Z	same	same		
ဟိန္းေဝယံ စိုးျပည့္သဇင္	15	1	ဟိန်းဝေယံ စိုးပြည့်သဇင်	diff	Z	1	ဟိန်းဝေယံ စိုးပြည့်သဇင်	diff	Z	same	same		
Japanလိုးကား	15	0.8424	Japanလိုးကား	same	I	0.9257125755	Japanလိုးကား	same	I	same	same		
ျမန္မာအျပာ	15	1	မြန်မာအပြာ	diff	Z	1	မြန်မာအပြာ	diff	Z	same	same		
တန္ဆာႀကီးေဆး အေၾကာင္းသိေကာင္းစရာ	15	1	တန်ဆာကြီးဆေး အကြောင်းသိကောင်းစရာ	diff	Z	1	တန်ဆာကြီးဆေး အကြောင်းသိကောင်းစရာ	diff	Z	same	same		
ေကာင္းထက္ေဇာ္	15	1	ကောင်းထက်ဇော်	diff	Z	1	ကောင်းထက်ဇော်	diff	Z	same	same		
လိုးကားသီးသန့္	15	1	လိုးကားသီးသန့်	diff	Z	0.9999956121	လိုးကားသီးသန့်	diff	Z	same	same		
အျပာလြင္ျပင္	15	1	အပြာလွင်ပြင်	diff	Z	1	အပြာလွင်ပြင်	diff	Z	same	same		
တာေတ	15	0.9999	တာတေ	diff	Z	0.9999450187	တာတေ	diff	Z	same	same		
လီးျကီး	15	0.7552	လီးကြီး	diff	I	0.9963987303	လီးကြီး	diff	Z	diff	same		
ပညာ	15	0.3539	ပညာ	same	I	0.7529943132	ပညာ	same	I	same	same		
ကုလားသရဲ	15	0.464	ကုလားသရဲ	same	I	0.9397868632	ကုလားသရဲ	same	I	same	same		
သဟေအာင္	15	1	သဟအောင်	diff	Z	0.9999993317	သဟအောင်	diff	Z	same	same		
play စတိုး	15	0.534	play စတိုး	same	I	0.5762449413	play စတိုး	same	I	same	same		
နီနီဝင္းေရႊ	15	1	နီနီဝင်းရွှေ	diff	Z	1	နီနီဝင်းရွှေ	diff	Z	same	same		
အာဇာနည္​	15	0.9999	အာဇာနည်​	diff	Z	0.9999988482	အာဇာနည်​	diff	Z	same	same		
samsung ဖုန္းအေၾကာင္း	15	1	samsung ဖုန်းအကြောင်း	diff	Z	1	samsung ဖုန်းအကြောင်း	diff	Z	same	same		
အျပာ႐ုပ္​ျပစာအုပ္​မ်ား	15	1	အပြာရုပ်​ပြစာအုပ်​များ	diff	Z	1	အပြာရုပ်​ပြစာအုပ်​များ	diff	Z	same	same		
လြမ္းမိုး mp3 download	15	1	လွမ်းမိုး mp3 download	diff	Z	0.9999999641	လွမ်းမိုး mp3 download	diff	Z	same	same		
က​ေလးလိုးကား	15	1	က​လေးလိုးကား	diff	Z	0.9999999038	က​လေးလိုးကား	diff	Z	same	same		
ထြန္းရတီ	15	1	ထွန်းရတီ	diff	Z	0.9999991447	ထွန်းရတီ	diff	Z	same	same		
သဇင္ေအာ္ကား	15	1	သဇင်အော်ကား	diff	Z	1	သဇင်အော်ကား	diff	Z	same	same		
မေနာ ခ်စ္တယ္ mp3 free download	15	1	မနော ချစ်တယ် mp3 free download	diff	Z	1	မနော ချစ်တယ် mp3 free download	diff	Z	same	same		
ေရႊထူး ဘာမီတြန္	15	1	ရွှေထူး ဘာမီတွန်	diff	Z	1	ရွှေထူး ဘာမီတွန်	diff	Z	same	same		
​ေရခ်ိဳး	15	1	​ရေချိုး	diff	Z	1	​ရေချိုး	diff	Z	same	same		
မမ ေဝ	15	0.9126	မမ ဝေ	diff	I	0.9999979416	မမ ဝေ	diff	Z	diff	same		
sexခေလး	15	0.1334	sexခလေး	diff	I	0.9995202454	sexခလေး	diff	Z	diff	same		
သာ	15	0.528	သာ	same	I	0.6906767616	သာ	same	I	same	same		
pornျမန္မာ	15	1	pornမြန်မာ	diff	Z	0.9999993195	pornမြန်မာ	diff	Z	same	same		
ေဘာလံုးပြဲ	15	1	ဘောလုံးပွဲ	diff	Z	1	ဘောလုံးပွဲ	diff	Z	same	same		
ခိုး႐ိုက္	15	0.9999	ခိုးရိုက်	diff	Z	0.9999999959	ခိုးရိုက်	diff	Z	same	same		
လမ္း	15	0.9967	လမ်း	diff	Z	0.9998520793	လမ်း	diff	Z	same	same		
​ေအာင္​လအန္​ဆန္​း	15	1	​အောင်​လအန်​ဆန်း	diff	Z	1	​အောင်​လအန်​ဆန်း	diff	Z	same	same		
သိန္းေဇာ္	15	1	သိန်းဇော်	diff	Z	1	သိန်းဇော်	diff	Z	same	same		
ဘာသာေရး စာအုပ္	15	1	ဘာသာရေး စာအုပ်	diff	Z	1	ဘာသာရေး စာအုပ်	diff	Z	same	same		
ျမန္မာသတင္း ရခိုင္	15	1	မြန်မာသတင်း ရခိုင်	diff	Z	1	မြန်မာသတင်း ရခိုင်	diff	Z	same	same		
​ေဇရဲထက္​	15	1	​ဇေရဲထက်​	diff	Z	0.9999999995	​ဇေရဲထက်​	diff	Z	same	same		
ပံုျပင္​စာအုပ္ download	15	1	ပုံပြင်​စာအုပ် download	diff	Z	1	ပုံပြင်​စာအုပ် download	diff	Z	same	same		
xxxအူဝဲ	15	0.05992	xxxအူဝဲ	same	I	0.2418321159	xxxအူဝဲ	same	I	same	same		
ေဒါက္တာကိုၾကီး	15	1	ဒေါက်တာကိုကြီး	diff	Z	1	ဒေါက်တာကိုကြီး	diff	Z	same	same		
ဂ်ပန္ကတံုး	15	0.999	ဂျပန်ကတုံး	diff	Z	0.9999999867	ဂျပန်ကတုံး	diff	Z	same	same		
နန္းခင္ေဇယ်ာ	15	1	နန်းခင်ဇေယျာ	diff	Z	1	နန်းခင်ဇေယျာ	diff	Z	same	same		
ျမန္​မာဟာသ	15	1	မြန်​မာဟာသ	diff	Z	0.9999999755	မြန်​မာဟာသ	diff	Z	same	same		
ျပည့္တန္ဆာ ဥပေဒ	15	1	ပြည့်တန်ဆာ ဥပဒေ	diff	Z	1	ပြည့်တန်ဆာ ဥပဒေ	diff	Z	same	same		
ဆရာမေလး	15	0.9292	ဆရာမလေး	diff	I	0.9999750215	ဆရာမလေး	diff	Z	diff	same		
xxnxျမန္မာ	15	1	xxnxမြန်မာ	diff	Z	0.9999993195	xxnxမြန်မာ	diff	Z	same	same		
ဟာ	15	0.1674	ဟာ	same	I	0.511820021	ဟာ	same	I	same	same		
ကုိရီယာxxx	15	0.9999	ကိုရီယာxxx	diff	Z	0.9998573353	ကိုရီယာxxx	diff	Z	same	same		
တ႐ုပ္​လိုးကား	15	1	တရုပ်​လိုးကား	diff	Z	0.9999999994	တရုပ်​လိုးကား	diff	Z	same	same		
လြမ္းပိုင္ 2017	15	1	လွမ်းပိုင် 2017	diff	Z	1	လွမ်းပိုင် 2017	diff	Z	same	same		
​ေဖြးေဖြး photos	15	1	​ဖွေးဖွေး photos	diff	Z	1	​ဖွေးဖွေး photos	diff	Z	same	same		
ျမန္​မာအတြဲ​ေခ်ာင္​းရိုက္​	15	1	မြန်​မာအတွဲ​ချောင်းရိုက်​	diff	Z	1	မြန်​မာအတွဲ​ချောင်းရိုက်​	diff	Z	same	same		
လိုးblog	15	0.5981	လိုးblog	same	I	0.4273739313	လိုးblog	same	I	same	same		
ျမဝတီသတင္​းစာ	15	1	မြဝတီသတင်းစာ	diff	Z	1	မြဝတီသတင်းစာ	diff	Z	same	same		
ျမန္မာေခ်ာင္ရိုက္	15	1	မြန်မာချောင်ရိုက်	diff	Z	1	မြန်မာချောင်ရိုက်	diff	Z	same	same		
အား အင်း	15	4.89E-05	အား အငျး	diff	U	0.000008412216741	အား အငျး	diff	U	same	same		
အပ်ိဳ	15	0.9955	အပျို	diff	Z	0.9999999864	အပျို	diff	Z	same	same		
ကုိကုိ​ေအာစာအုပ္​	15	1	ကိုကို​အောစာအုပ်​	diff	Z	1	ကိုကို​အောစာအုပ်​	diff	Z	same	same		
ထုိင္းေအာကား	15	1	ထိုင်းအောကား	diff	Z	1	ထိုင်းအောကား	diff	Z	same	same		
ပန္​းက​ေလး	15	1	ပန်းက​လေး	diff	Z	0.9999999994	ပန်းက​လေး	diff	Z	same	same		
သရဲကားမ်ား	15	0.9985	သရဲကားများ	diff	Z	0.9999985344	သရဲကားများ	diff	Z	same	same		
အဂၤလိပ္လိုကား	15	1	အင်္ဂလိပ်လိုကား	diff	Z	0.9999999964	အင်္ဂလိပ်လိုကား	diff	Z	same	same		
အာဇာနည်ဗိမာန်, Ar Zar Ni Street, Yangon	15	2.29E-09	အာဇာနညျဗိမာနျ, Ar Zar Ni Street, Yangon	diff	U	1.61E-09	အာဇာနညျဗိမာနျ, Ar Zar Ni Street, Yangon	diff	U	same	same		
ျမန္မာအျပာစာအုပ္မ်ား	15	1	မြန်မာအပြာစာအုပ်များ	diff	Z	1	မြန်မာအပြာစာအုပ်များ	diff	Z	same	same		
ျမန္မာ ေအာ	15	1	မြန်မာ အော	diff	Z	1	မြန်မာ အော	diff	Z	same	same		
မီးမီးခဲ	15	0.3382	မီးမီးခဲ	same	I	0.3409629889	မီးမီးခဲ	same	I	same	same		
ျမန္မာXnxx	15	1	မြန်မာXnxx	diff	Z	0.9999993195	မြန်မာXnxx	diff	Z	same	same		
အရိပ္​	15	0.9945	အရိပ်​	diff	Z	0.9997908929	အရိပ်​	diff	Z	same	same		
myanmar ေခ်ာင္းရိုက္	15	1	myanmar ချောင်းရိုက်	diff	Z	1	myanmar ချောင်းရိုက်	diff	Z	same	same		
အို ဟင့္	15	0.9999	အို ဟင့်	diff	Z	0.9999999452	အို ဟင့်	diff	Z	same	same		
ေၾကးစားေဒါက္တာ	15	1	ကြေးစားဒေါက်တာ	diff	Z	1	ကြေးစားဒေါက်တာ	diff	Z	same	same		
ေအာ႐ုပ္ျပစာအုပ္	15	1	အောရုပ်ပြစာအုပ်	diff	Z	1	အောရုပ်ပြစာအုပ်	diff	Z	same	same		
မုိေဟကို	15	1	မိုဟေကို	diff	Z	0.9999999117	မိုဟေကို	diff	Z	same	same		
​ေဒါက္​တာမ​ေလး	15	1	​ဒေါက်​တာမ​လေး	diff	Z	1	​ဒေါက်​တာမ​လေး	diff	Z	same	same		
ျမန္​မာစာတန္​းထိုးဇာတ္​ကားမ်ား	14	1	မြန်​မာစာတန်းထိုးဇာတ်​ကားများ	diff	Z	1	မြန်​မာစာတန်းထိုးဇာတ်​ကားများ	diff	Z	same	same		
ဘဝ	14	0.4281	ဘဝ	same	I	0.8493249688	ဘဝ	same	I	same	same		
ဂီတာ လက္ကြက္	14	1	ဂီတာ လက်ကွက်	diff	Z	0.9999999889	ဂီတာ လက်ကွက်	diff	Z	same	same		
ဗမာေအာကား	14	0.9998	ဗမာအောကား	diff	Z	0.9999973835	ဗမာအောကား	diff	Z	same	same		
ကာမစာမ်ား	14	0.9994	ကာမစာများ	diff	Z	0.9999986932	ကာမစာများ	diff	Z	same	same		
နန္းစုရတီစိုး facebook	14	0.9999	နန်းစုရတီစိုး facebook	diff	Z	0.9999645547	နန်းစုရတီစိုး facebook	diff	Z	same	same		
ဥ	14	0.6597	ဥ	same	I	0.78469083	ဥ	same	I	same	same		
အား ညီမ	14	0.6262	အား ညီမ	same	I	0.966467139	အား ညီမ	same	Z	diff	same		
အဂၤလိပ္လုိးကား	14	1	အင်္ဂလိပ်လိုးကား	diff	Z	1	အင်္ဂလိပ်လိုးကား	diff	Z	same	same		
ေလးျဖဴ mp3	14	1	လေးဖြူ mp3	diff	Z	1	လေးဖြူ mp3	diff	Z	same	same		
sp flashtool 3149 errorေျဖရွင္း	14	1	sp flashtool 3149 errorဖြေရှင်း	diff	Z	1	sp flashtool 3149 errorဖြေရှင်း	diff	Z	same	same		
ျမန္မာfuck	14	1	မြန်မာfuck	diff	Z	0.9999993195	မြန်မာfuck	diff	Z	same	same		
တင့္တင့္ထြန္း	14	1	တင့်တင့်ထွန်း	diff	Z	1	တင့်တင့်ထွန်း	diff	Z	same	same		
မေနာ သီခ်င္းမ်ား mp3	14	1	မနော သီချင်းများ mp3	diff	Z	1	မနော သီချင်းများ mp3	diff	Z	same	same		
လိင္​ဆက္​ဆံvideo	14	1	လိင်​ဆက်​ဆံvideo	diff	Z	0.999999991	လိင်​ဆက်​ဆံvideo	diff	Z	same	same		
ျမန္​မာ ​ေအာစာအုပ္​	14	1	မြန်​မာ ​အောစာအုပ်​	diff	Z	1	မြန်​မာ ​အောစာအုပ်​	diff	Z	same	same		
မွုန္တိုင္း	14	1	မှုန်တိုင်း	diff	Z	1	မှုန်တိုင်း	diff	Z	same	same		
နေတိုး သက်မွန်မြင့် movies 2017	14	7.08E-08	နတေိုး သကျမှနျမွငျ့ movies 2017	diff	U	8.67E-08	နတေိုး သကျမှနျမွငျ့ movies 2017	diff	U	same	same		
ေအာစာအုပ္္	14	1	အောစာအုပ်	diff	Z	1	အောစာအုပ်	diff	Z	same	same		
ေမတၱာသုတ္	14	1	မေတ္တာသုတ်	diff	Z	1	မေတ္တာသုတ်	diff	Z	same	same		
ျမန္မာသတင္းdvb	14	1	မြန်မာသတင်းdvb	diff	Z	1	မြန်မာသတင်းdvb	diff	Z	same	same		
ေျကာင္မ်က္ရွင္စိန္စိန္	14	1	ကြောင်မျက်ရှင်စိန်စိန်	diff	Z	1	ကြောင်မျက်ရှင်စိန်စိန်	diff	Z	same	same		
ျမန္မာသတင္းထူးမ်ား	14	1	မြန်မာသတင်းထူးများ	diff	Z	1	မြန်မာသတင်းထူးများ	diff	Z	same	same		
ကေလးလိုး	14	0.8694	ကလေးလိုး	diff	I	0.9999543303	ကလေးလိုး	diff	Z	diff	same		
လိုးက	14	0.7697	လိုးက	same	I	0.6004597397	လိုးက	same	I	same	same		
အိမ္	14	0.9949	အိမ်	diff	Z	0.9998338172	အိမ်	diff	Z	same	same		
ဂိမ္​းမ်ား	14	1	ဂိမ်းများ	diff	Z	0.9999999517	ဂိမ်းများ	diff	Z	same	same		
မိုးမိုး	14	0.6283	မိုးမိုး	same	I	0.4538166735	မိုးမိုး	same	I	same	same		
ျမန္မာxnxx.com	14	1	မြန်မာxnxx.com	diff	Z	0.9999993195	မြန်မာxnxx.com	diff	Z	same	same		
ေအာကားvideo	14	0.9999	အောကားvideo	diff	Z	0.9999932836	အောကားvideo	diff	Z	same	same		
ေအာကားမ်ာ	14	1	အောကားမျာ	diff	Z	0.9999999999	အောကားမျာ	diff	Z	same	same		
မ်ဳိးႀကီး	14	1	မျိုးကြီး	diff	Z	1	မျိုးကြီး	diff	Z	same	same		
ျမန္မာေခ်ာင္ရုိက္	14	1	မြန်မာချောင်ရိုက်	diff	Z	1	မြန်မာချောင်ရိုက်	diff	Z	same	same		
ေဒါက္တာတုတ္ျကီး	14	1	ဒေါက်တာတုတ်ကြီး	diff	Z	1	ဒေါက်တာတုတ်ကြီး	diff	Z	same	same		
အိုင္းရင္းဇင္မာျမင့္	14	1	အိုင်းရင်းဇင်မာမြင့်	diff	Z	1	အိုင်းရင်းဇင်မာမြင့်	diff	Z	same	same		
ငါကိုခ်စ္ရင္	14	1	ငါကိုချစ်ရင်	diff	Z	1	ငါကိုချစ်ရင်	diff	Z	same	same		
အလန္းေလးမ်ား	14	1	အလန်းလေးများ	diff	Z	1	အလန်းလေးများ	diff	Z	same	same		
xnxxxျမန္မာ	14	1	xnxxxမြန်မာ	diff	Z	0.9999993195	xnxxxမြန်မာ	diff	Z	same	same		
ေစာက္ဖုတ္ photo	14	1	စောက်ဖုတ် photo	diff	Z	1	စောက်ဖုတ် photo	diff	Z	same	same		
2d3d ဝါသနာရှင်များစုစည်းရာ	14	1.49E-12	2d3d ဝါသနာရှငျမြားစုစညျးရာ	diff	U	3.10E-16	2d3d ဝါသနာရှငျမြားစုစညျးရာ	diff	U	same	same		
2018ခ်ဲဂဏန္း	14	1	2018ချဲဂဏန်း	diff	Z	1	2018ချဲဂဏန်း	diff	Z	same	same		
ေမာင္အျပာ	14	1	မောင်အပြာ	diff	Z	1	မောင်အပြာ	diff	Z	same	same		
​လိုးကား	14	0.8424	​လိုးကား	same	I	0.9978781543	​လိုးကား	same	Z	diff	same		
အာ၇ိိ၇ိပ၉လ၆	14	0.9978	အာ၇ိ၇ိပ၉လ၆	diff	Z	0.9999999955	အာ၇ိ၇ိပ၉လ၆	diff	Z	same	same		
ကြၽန္ေတာ္႐ူးေနသည္	14	1	ကျွန်တော်ရူးနေသည်	diff	Z	1	ကျွန်တော်ရူးနေသည်	diff	Z	same	same		
ထိုင္းအျပာကား	14	1	ထိုင်းအပြာကား	diff	Z	1	ထိုင်းအပြာကား	diff	Z	same	same		
ျမန္မာဟာသကားမ်ား	14	1	မြန်မာဟာသကားများ	diff	Z	1	မြန်မာဟာသကားများ	diff	Z	same	same		
အန္တီ 2017	14	0.4553	အန်တီ 2017	diff	I	0.6079563739	အန်တီ 2017	diff	I	same	same		
ေဘာလံုး	14	1	ဘောလုံး	diff	Z	1	ဘောလုံး	diff	Z	same	same		
မ​ေနာသီခ်င္​းမ်ား	14	1	မ​နောသီချင်းများ	diff	Z	1	မ​နောသီချင်းများ	diff	Z	same	same		
စာအုပ္မ်ား	14	0.9995	စာအုပ်များ	diff	Z	0.9999999912	စာအုပ်များ	diff	Z	same	same		
ျမန္မာစာတန္းထိုး full movies	14	1	မြန်မာစာတန်းထိုး full movies	diff	Z	1	မြန်မာစာတန်းထိုး full movies	diff	Z	same	same		
ကြၽန္​းပ်ိဳးနည္​း	14	1	ကျွန်းပျိုးနည်း	diff	Z	1	ကျွန်းပျိုးနည်း	diff	Z	same	same		
ဂီတာ သင္ခန္းစာ	14	1	ဂီတာ သင်ခန်းစာ	diff	Z	0.9999999999	ဂီတာ သင်ခန်းစာ	diff	Z	same	same		
အာဇာနည္ေန့စာစီစာကံုး	14	1	အာဇာနည်နေ့စာစီစာကုံး	diff	Z	1	အာဇာနည်နေ့စာစီစာကုံး	diff	Z	same	same		
ဟာသကားမ်ား	14	0.9995	ဟာသကားများ	diff	Z	0.9999995501	ဟာသကားများ	diff	Z	same	same		
